,title,text,location
0,"IAF, govt announce compensation","AHMEDABAD: Senior Air Staff Officer Air Marshal AD Joshi from SWAC, while condoling the victims of the air crash, announced an immediate ex-gratia payment of Rs one lakh and Rs 50,000 for every adult and child below 12 years killed respectively.

This was in accordance with the norms of defencerelated disasters, where Rs 5.5 lakh and Rs 2.75 lakh were compensation amounts stipulated per adult and child below 12 years. The compensation offered immediately would be deducted from this sum, said SWAC sources.

The state govermment has also sanctioned Rs 50,000 to the next of kin of the youth who was killled, and Rs 25,000 for the families of the three children who also died in the crash.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",AHMEDABAD
1,I don't like politics: Priyanka,"JAMMU: On the threshold of a political career, Priyanka has confessed she dislikes politics.

<div class=""section1""><div class=""Normal""><script language=""javascript"">doweshowbellyad=0; </script><br />JAMMU: <a href=""http://timesofindia.indiatimes.com/articleshow/482516.cms"" target=""_blank"">Priyanka Vadra</a> went to see Kashmiri children, victims of militancy, here on Friday. And she reportedly told them she disliked politics, but would <a href=""http://timesofindia.indiatimes.com/articleshow/506835.cms"" target=""_blank"">probably join</a> it.<br /></div> <div align=""left"" style=""position:relative; left: -2""><table cellspacing=""0"" cellpadding=""2"" align=""left"" border=""1"" width=""19.4%""> <colgroup> <col width=""100.0%"" /> </colgroup> <tr valign=""top""> <td width=""100.0%"" colspan=""1"" rowspan=""1"" style="""" valign:="""" top;="""" background-color:="""" #f3f3f3;="""" ''=""""> <div class=""Normal""><img src=""/photo/509473.cms"" alt=""/photo/509473.cms"" border=""0"" /></div> </td> </tr> <tr valign=""top""> <td width=""100.0%"" colspan=""1"" rowspan=""1"" style="""" valign:="""" top;="""" background-color:="""" #f3f3f3;="""" ''=""""> <div class=""Normal""><span style="""" font-size:="""" 8pt;''="""">Priyanka Vadra: Will she, wonâ€™t she join politics?</span></div> </td> </tr> </table></div> <div class=""Normal""><span style="""" font-size:="""" 16pt;="""" font-weight:="""" bold;''="""">Sources told Times News Network that the Congress president''s daughter organised a workshop under the banner of the <a href=""http://timesofindia.indiatimes.com/articleshow/474618.cms"" target=""_blank"">Rajiv Gandhi</a> Foundation at Jammu University for the victims of militancy. </span><br /><br /><span style="""" font-size:="""" 16pt;="""" font-weight:="""" bold;''="""">Priyanka, her husband, Robert, and brother <a href=""http://timesofindia.indiatimes.com/articleshow/479395.cms"" target=""_blank"">Rahul</a> arrived here on Thursday. The trio undertook a pilgrimage to the <a href=""http://timesofindia.indiatimes.com/articleshow/506541.cms"" target=""_blank"">Vaishno Devi</a> shrine. </span><br /><br /><span style="""" font-size:="""" 16pt;="""" font-weight:="""" bold;''="""">Leaving her husband and brother at the hotel, Hari Niwas, on Friday morning, Priyanka went to interact with at least 50 Kashmiri children, most of whom were orphans. </span><br /><br /><span style="""" font-size:="""" 16pt;="""" font-weight:="""" bold;''="""">The sources said that Priyanka identified herself as a victim of militancy, too, to the children. </span><br /><br /><span style="""" font-size:="""" 16pt;="""" font-weight:="""" bold;''="""">""My father was also killed by terrorists and I can feel your pain. I know what it means to lose one''s father,"" she said. </span><br /><br /><span style="""" font-size:="""" 16pt;="""" font-weight:="""" bold;''="""">In reply to a query, she said that she did not like politics. ""But sometimes, one has to do things even if one dislikes them,"" was her reported reply.</span><br /><br /><span style="""" font-size:="""" 16pt;="""" font-weight:="""" bold;''=""""><formid=367815></formid=367815></span></div> </div>",JAMMU
2,'State will go by rule book on Sonia's security',"HYDERABAD: The Congress need not have any doubts about the state government''s ability to provide security to the AICC president Sonia Gandhi, chief minister N Chandrababu Naidu said on Friday.

Allaying fears expressed by some Congress leaders on Thursday, Naidu told reporters at NTR Trust Bhavan that the TDP may have ideological and political differences with the Congress party. It also opposes Sonia Gandhi becoming the Prime Minister of the country. But this does not make us blind towards discharge of our duty.

Naidu said the state government will provide full security to the AICC president whenever she visits the state. The state government goes by rule book on such issues, he said.

Naidu also favoured funding of elections by the state. He said a detailed debate on this was necessary and political parties should come to a consensus so that a legislation could be brought in. This would reduce poll expenditure and would be a major electoral reform.

Earlier, addressing 5000 party volunteers at NAC grounds who are undergoing special training in crowd management for Vijayabheri, Naidu criticised Congress party and its policies.

He said a country which stood as one and opposed British rule, can never accept Sonia Gandhi. Vote for Sonia would be a matter of shame for the country, he added. He said it was unfortunate that the TRS had mortgaged the pride of Telangana to Sonia Gandhi and the party led by her.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",HYDERABAD
3,Traffic curbs in city from 10 am to 11 pm,"HYDERABAD: The city police announced traffic diversions in connection with the TDP''s Vijayabheri being organised at the Parade Grounds on Sunday. The restrictions would be in force on Sunday from 10 am to 11 pm.

Traffic from Begumpet, Upkaar and Tarnaka would be diverted at Rasoolpura Crossroads, YMCA and Alugaddabawi towards Ministers Road, Garden Restaurant and Chilkalguda crossroads respectively. Traffic from Skyline theatre, Himayatnagar and Sadhuram Eye Hospital would not be allowed towards Basheerbagh and Liberty junction.

General traffic will not be allowed towards BJR statue from AR Petrol Pump and will be diverted towards Chapel Road. Vehicles from SBH Gunfoundry would be diverted towards Chapel Road and would not be allowed towards BJR statue.

At Old Telugu Talli statue, traffic from Ravindra Bharati, Dwaraka Hotel and Iqbal Minar would not be allowed to Upper Tank Bund and would be diverted towards the NTR Marg.

At Sailing Club Junction, traffic from Kavadiguda side would not be allowed to enter Upper Tank Bund. Vehicles from Ranigunj and Bansilalpet side would not be allowed towards Karbala Maidan and Bible House respectively.

Traffic will not be allowed to enter Gas Mandi junction, Bata junction and Patny junction from either side of the junctions.

It has also issued restrictions for private contract carriages from 7 am to 11 pm on Sunday.

Buses from BHEL, Kukatpally, SR Nagar, Ameerpet, Lakdikapul, Bahadurpura, Afzalgunj, Dilsukhnagar, Malakpet and Secunderabad will not be allowed to move or halt on city roads.

Further, local and non-local lorries would not be allowed movement from 8 pm on February 21 to 8 am on February 23. All lorries entering the ring road and Attapur bridge would not be allowed towards Retibowli and Mehdipatnam and diverted at Moghal ka Nala either towards Rajendranagar or Lunger Houz. At Lunger Houz crossroads, lorries would not be allowed towards Nanalnagar, Mehdipatnam, Tombs Road and Tolichowki.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",HYDERABAD
4,Fernandes assails Rabri govt,"SITAMARHI: Describing Bihar as a fit case for imposition of President''s rule, NDA convenor George Fernandes said on Friday if voted to power, the ruling alliance would definitely consider bringing the state under central rule.

""Bihar is a fit case for imposition of President''s rule. NDA thrice tried to bring the state under President''s rule, but failed due to lack of majority in the Rajya Sabha. If NDA is voted back to power, it will definitely consider bringing the state under central rule to end the corrupt and inefficient RJD regime,"" Fernandes told a public meeting at Chorauth block of the district. He said the Laloo-Rabri rule proved to be the ""darkest"" era in the state. PTI

""Law and order has worsened. No development is taking place ... People are fed up with the inefficient and corrupt administration under Rabri Devi,"" he said and appealed to the people to ""teach them a lesson"" in the coming Lok Sabha polls.

Fernandes said the NDA government by approving a large number of development schemes in the field of railway, power, road and other sectors had tried to pull the state out of backwardness, but due to lack of matching efforts from the state government, the objective could not be achieved.

Local JD(U) MP in the dissolved Lok Sabha Nawal Kishore Rai also assailed the RJD ministry. PTI

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",SITAMARHI
5,JD(U) sees red as BJP to go it alone in polls,"DHANBAD: The decision of BJP, the leading partner in the NDAâ€™s state government, to go it alone in the forthcoming Lok Sabha elections, has made its ally, the JD(U) see red.

The refusal by the BJP to accept JD(U) as a partner and a national party, has not only embarrassed the state JD(U) leaderhip, but the BJPâ€™s plea that the JD(U) has no base in the state has further aggrieved it.

A delegation led by the state JD(U) president Gautam Sagar Rana, comprising Lalchand Mahto and Tarkeshwar Singh, rushed to the central party leadership and apprised them of the mood of party rank and files in the state.

The party leadership kept its voice mum on the issue and defered its decision till month end. George Fernandes and Sharad Yadav informed the delegation that the issue would be decided in Ranchi on March 1. The JD(U) also hurriedly called a rally on the fateful day to counter the BJPâ€™s plea. Preparations are on to make the show a success.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",DHANBAD
6,Madhuri's fan irked at Haryana govt's move,"RANCHI: Noted film actress Madhuri Dixitâ€™s admirer Pappu Sardar has done it again.

The â€˜dhak-dhakâ€™ girlâ€™s fan who has been celebrating her birthday religiously for years now- sometimes with the physically challenged at Jamshedpur-based Cheshire Home or at the Old Age Home- now wants to give Rs 1.75 lakh to the Haryana government as payment for a plot of land at Panchkula, which was given away by chief minister Bhajan Lal to the actress at government rate.

Not ready to listen to any logic Pappu is angry with the Haryana government for sending a notice to the actress for paying the amount. â€œIt is not that she will not be able to pay, but I appeal to the Haryana government to accept my offer through the media,â€� he argued. Later, he said the plot of land could be used as an old age home or a home for the disabled, he added.

According to Pappu, newspaper reports suggest that Bhajan Lal had offered a plot of land to Diksit at a government rate of Rs 2.35 lakh, of which she had already paid an initial amount of Rs 60,000. On February 15, this year, the Haryana government reportedly served a notice to Madhuri asking her to pay up the remaining Rs 1.75, failing which, the land would be allotted to somebody else. Donning a â€˜Devdas kurtaâ€™ with images of Shahrukh and Madhuri, Pappu says that this will make him very happy for if he can do something for somebody who is his inspiration and who made him what he is today. No regrets if Madhuri has not once acknowledged his existence or the good work he is doing in her name.

â€œWe pray to God and make many offerings in His name, but is it necessary that god reciprocates?â€� he asked. Pappu who used to celebrate Madhuriâ€™s birthday by offering free plates of â€˜chaatâ€™ to the residents of the Steel City, now spends his time on the occasion at the Cheshire Home and has even donated a park for children of the home. The Madhuri fan also celebrates â€˜rakhiâ€™ at the home and with senior citizens at the old age home.

But Pappu would not like his inspiration to join politics. â€œActors should expose politicians and not run after politics,â€� he said.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",RANCHI
7,"UP govt hikes salaries of ministers, MLAs","LUCKNOW: Notwithstanding the financial crunch, the Uttar Pradesh government today announced hike in salaries of ministers and legislators ahead of Lok Sabha polls.

Winding up the debate on budget proposals in the state assembly, Chief Minister Mulayam Singh Yadav announced the hike in salaries of legislators from existing Rs 2,000 to Rs 3,000 per month.

Similarly, the salaries of cabinet rank ministers have been increased from Rs 2,500 to Rs 5,000 while the Ministers of State would get an increased salary of Rs 4,000 as against Rs 2,250.

Besides, the salaries the perks of the legislators and ministers have also been increased, Yadav announced.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",LUCKNOW
8,UP government withdraws controversial order,"LUCKNOW: Under attack from the BJP and Sangh Parivar, the Mulayam Singh government in Uttar Pradesh on Friday withdrew its controversial order to close teaching work in government schools and intermediate colleges by 12.00 noon on Fridays to facilitate Muslims to offer prayers.

The announcement of rescinding the order was made by the Chief Minister in the state assembly while replying to the debate on budget proposals.

However, the government authorised District Magistrates to take a decision in this regard at the local level in consultation with the district school authorities especially in pre-dominantly Muslim areas.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",LUCKNOW
9,Sahara journo assaulted at Mayawati rally,"MUMBAI: A reporter from Sahara Samay Mumbai, a local TV channel, was assaulted by Bahujan Samaj Party (BSP) workers at a rally addressed by BSP leader Mayawati at Shivaji Park on Friday.

The reporter, Shailesh Mohite, suffered injuries on the head and back. A spokesperson from Sahara said a complaint has been lodged at Shivaji Park police station.

The channel was covering the rally live. According to Mr Mohite, the BSP workers took offence when he reported that 30,000 people attended the rally.

""They wanted me to say before the camera that lakhs of workers had assembled for the rally."" When he refused to oblige, the BSP activists assaulted him.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",MUMBAI
